Station ID,Station name,City
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
13251,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",Hà Nội
12976,"Bắc Ninh/Châu Khê, Vietnam",Bắc Ninh
13250,"Lào Cai/KCN TALOONG1, Vietnam",Lào Cai
5507,"Ha Long, Vietnam (Tp Hạ Long)",Hạ Long
11778,"Quảng Ninh/UBND TP Uông Bí, Vietnam",Quảng Ninh
12958,"Bắc Ninh/Phong Cốc, Vietnam",Bắc Ninh
12957,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",Bắc Ninh
13015,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",Hà Nội
13018,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",Hà Nội
13019,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",Hà Nội
13026,"Hà Nội/Chi cục BVMT, Vietnam",Hà Nội
1584,Đà Nẵng,Đà Nẵng
1585,"Nha Trang, Vietnam",Nha Trang
13017,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",Hà Nội
13020,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",Hà Nội
13013,"Hà Nội/36A Phạm Văn Đồng, Vietnam",Hà Nội
13014,"Hà Nội/Mầm non Kim Liên, Vietnam",Hà Nội
13252,"Cao Bằng/Trạm khí TTQT, Vietnam",Cao Bằng
8767,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",Hồ Chí Minh 
8688,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",Hà Nội
8641,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",Hà Nội
13012,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",Gia Lai
12488,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",Thừa Thiên Huế
